id,speciality_code,test_code,name_uz,name_cy,name_ru,name_en,created_at,updated_at,admission,type,year,subject_1,subject_2,subject_3
40936,5140300,,Mexanika va matematika modellashtirish,Mexanika va matematika modellashtirish,Mexanika va matematika modellashtirish,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:100;s:7:""quote_p"";d:80;s:7:""place_c"";i:12;s:7:""place_p"";i:7;s:10:""ball_con_c"";d:155.09999999999999;s:10:""ball_con_p"";d:142.09999999999999;s:14:""avg_ball_con_c"";d:162.40000000000001;s:14:""avg_ball_con_p"";d:151.09999999999999;s:10:""ball_gra_c"";d:177.09999999999999;s:10:""ball_gra_p"";d:169.09999999999999;s:14:""avg_ball_gra_c"";d:193.69999999999999;s:14:""avg_ball_gra_p"";d:188.40000000000001;}",0,2020,101,21,22
40937,5140500,,Kimyo (turlari bo‘yicha),Kimyo (turlari bo‘yicha),Kimyo (turlari bo‘yicha),,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:50;s:7:""quote_p"";d:40;s:7:""place_c"";i:14;s:7:""place_p"";i:14;s:10:""ball_con_c"";d:141.09999999999999;s:10:""ball_con_p"";d:154.09999999999999;s:14:""avg_ball_con_c"";d:164.80000000000001;s:14:""avg_ball_con_p"";d:173.09999999999999;s:10:""ball_gra_c"";d:212.09999999999999;s:10:""ball_gra_p"";d:211.19999999999999;s:14:""avg_ball_gra_c"";d:217.09999999999999;s:14:""avg_ball_gra_p"";d:216.5;}",0,2020,101,21,22
40938,5140600,,Geografiya,Geografiya,Geografiya,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:90;s:7:""quote_p"";d:90;s:7:""place_c"";i:7;s:7:""place_p"";i:8;s:10:""ball_con_c"";d:133.19999999999999;s:10:""ball_con_p"";d:141.5;s:14:""avg_ball_con_c"";d:147.80000000000001;s:14:""avg_ball_con_p"";d:166.09999999999999;s:10:""ball_gra_c"";d:177;s:10:""ball_gra_p"";d:215.19999999999999;s:14:""avg_ball_gra_c"";d:193.69999999999999;s:14:""avg_ball_gra_p"";d:219.09999999999999;}",0,2020,101,21,22
40939,5150602,,Vokal sanʼati: anʼanaviy xonandalik,Vokal sanʼati: anʼanaviy xonandalik,Vokal sanʼati: anʼanaviy xonandalik,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:120;s:7:""quote_p"";d:20;s:7:""place_c"";d:6.5;s:7:""place_p"";i:9;s:10:""ball_con_c"";d:156;s:10:""ball_con_p"";d:152.30000000000001;s:14:""avg_ball_con_c"";d:157.69999999999999;s:14:""avg_ball_con_p"";d:161.59999999999999;s:10:""ball_gra_c"";d:161.09999999999999;s:10:""ball_gra_p"";d:180.09999999999999;s:14:""avg_ball_gra_c"";d:183.09999999999999;s:14:""avg_ball_gra_p"";d:195.69999999999999;}",0,2020,101,21,22
40940,5150711,,"Cholg‘u ijrochiligi: xalq cholg‘ulari (rubob prima, qashqar va afg‘on rubobi)","Cholg‘u ijrochiligi: xalq cholg‘ulari (rubob prima, qashqar va afg‘on rubobi)","Cholg‘u ijrochiligi: xalq cholg‘ulari (rubob prima, qashqar va afg‘on rubobi)",,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:60;s:7:""quote_p"";d:40;s:7:""place_c"";d:9.5;s:7:""place_p"";i:16;s:10:""ball_con_c"";d:145.30000000000001;s:10:""ball_con_p"";d:137.09999999999999;s:14:""avg_ball_con_c"";d:163.90000000000001;s:14:""avg_ball_con_p"";d:147.80000000000001;s:10:""ball_gra_c"";d:201.09999999999999;s:10:""ball_gra_p"";d:169.09999999999999;s:14:""avg_ball_gra_c"";d:209.69999999999999;s:14:""avg_ball_gra_p"";d:188.40000000000001;}",0,2020,101,21,22
40941,5150801,,Rangtasvir: dastgohli,Rangtasvir: dastgohli,Rangtasvir: dastgohli,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:20;s:7:""quote_p"";d:20;s:7:""place_c"";i:11;s:7:""place_p"";i:7;s:10:""ball_con_c"";d:130.19999999999999;s:10:""ball_con_p"";d:143.5;s:14:""avg_ball_con_c"";d:152.19999999999999;s:14:""avg_ball_con_p"";d:158.69999999999999;s:10:""ball_gra_c"";d:196.30000000000001;s:10:""ball_gra_p"";d:189.09999999999999;s:14:""avg_ball_gra_c"";d:206.5;s:14:""avg_ball_gra_p"";d:201.69999999999999;}",0,2020,101,21,22
40942,5151201,,Amaliy sanat: badiiy kulolchilik,Amaliy sanat: badiiy kulolchilik,Amaliy sanat: badiiy kulolchilik,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:120;s:7:""quote_p"";d:110;s:7:""place_c"";d:10.5;s:7:""place_p"";i:5;s:10:""ball_con_c"";d:138.09999999999999;s:10:""ball_con_p"";d:145;s:14:""avg_ball_con_c"";d:148.40000000000001;s:14:""avg_ball_con_p"";d:151;s:10:""ball_gra_c"";d:169;s:10:""ball_gra_p"";d:163.09999999999999;s:14:""avg_ball_gra_c"";d:188.30000000000001;s:14:""avg_ball_gra_p"";d:184.40000000000001;}",0,2020,101,21,22
40943,5151700,,Madaniyat va san’at muassasalarini tashkil etish hamda boshqarish,Madaniyat va san’at muassasalarini tashkil etish hamda boshqarish,Madaniyat va san’at muassasalarini tashkil etish hamda boshqarish,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:120;s:7:""quote_p"";d:40;s:7:""place_c"";d:14.5;s:7:""place_p"";d:7.5;s:10:""ball_con_c"";d:160.19999999999999;s:10:""ball_con_p"";d:160.30000000000001;s:14:""avg_ball_con_c"";d:179.5;s:14:""avg_ball_con_p"";d:167.30000000000001;s:10:""ball_gra_c"";d:218.19999999999999;s:10:""ball_gra_p"";d:181.19999999999999;s:14:""avg_ball_gra_c"";d:221.09999999999999;s:14:""avg_ball_gra_p"";d:196.5;}",0,2020,101,21,22
40944,5210203,,Psixologiya: amaliy psixologiya,Psixologiya: amaliy psixologiya,Psixologiya: amaliy psixologiya,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:120;s:7:""quote_p"";d:110;s:7:""place_c"";i:7;s:7:""place_p"";i:13;s:10:""ball_con_c"";d:129.09999999999999;s:10:""ball_con_p"";d:148.09999999999999;s:14:""avg_ball_con_c"";d:152.19999999999999;s:14:""avg_ball_con_p"";d:167.40000000000001;s:10:""ball_gra_c"";d:198.30000000000001;s:10:""ball_gra_p"";d:206.09999999999999;s:14:""avg_ball_gra_c"";d:207.90000000000001;s:14:""avg_ball_gra_p"";d:213.09999999999999;}",0,2020,101,21,22
40945,5220300,,Arxivshunoslik,Arxivshunoslik,Arxivshunoslik,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:50;s:7:""quote_p"";d:110;s:7:""place_c"";d:11.5;s:7:""place_p"";d:4.5;s:10:""ball_con_c"";d:133.30000000000001;s:10:""ball_con_p"";d:149.30000000000001;s:14:""avg_ball_con_c"";d:156.59999999999999;s:14:""avg_ball_con_p"";d:163.90000000000001;s:10:""ball_gra_c"";d:203.09999999999999;s:10:""ball_gra_p"";d:193.09999999999999;s:14:""avg_ball_gra_c"";d:211.09999999999999;s:14:""avg_ball_gra_p"";d:204.40000000000001;}",0,2020,101,21,22
